X_0,Y_0,X_1,Y_1,X_2,Y_2,X_3,Y_3,X_4,Y_4
8,0,8,0,8,0,8,0,8,0
0,0,0,0,0,0,0,0,0,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
24,0,24,0,24,0,24,0,24,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
24,0,24,0,24,0,24,0,24,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
24,0,24,0,24,0,24,0,24,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
28,0,28,0,28,0,28,0,28,0
0,0,0,0,0,0,0,0,0,0
28,0,28,0,28,0,28,0,28,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
248,0,248,0,248,0,248,0,248,0
5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0
248,0,248,0,248,0,248,0,248,0
5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
0,0,0,0,0,0,0,0,0,0
61,0,49,0,61,0,57,0,49,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
61,0,49,0,61,0,57,0,49,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
32,0,32,0,32,0,32,0,32,0
0,0,0,0,0,0,0,0,0,0
32,0,32,0,32,0,32,0,32,0
0,0,0,0,0,0,0,0,0,0
32,0,32,0,32,0,32,0,32,0
0,0,0,0,0,0,0,0,0,0
116,0,116,0,116,0,116,0,116,0
0,0,0,0,0,0,0,0,0,0
116,0,116,0,116,0,116,0,116,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
46,0,46,0,46,0,46,0,46,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
62,0,62,0,62,0,62,0,62,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
62,0,62,0,62,0,62,0,62,0
0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,0,8,0,8,0
2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
32,0,32,0,32,0,32,0,32,0
46,0,46,0,46,0,46,0,46,0
0,0,0,0,0,0,0,0,0,0
32,0,32,0,32,0,32,0,32,0
62,0,62,0,62,0,62,0,62,0
0,0,0,0,0,0,0,0,0,0
32,0,32,0,32,0,32,0,32,0
62,0,62,0,62,0,62,0,62,0
0,0,0,0,0,0,0,0,0,0
160,0,160,0,160,0,160,0,160,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
160,0,160,0,160,0,160,0,160,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,0,8,0,8,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
56,0,56,0,56,0,56,0,56,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
56,0,56,0,56,0,56,0,56,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
56,0,56,0,56,0,56,0,56,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
64,0,64,0,64,0,64,0,64,0
0,0,0,0,0,0,0,0,0,0
64,0,64,0,64,0,64,0,64,0
0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,0,8,0,8,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
120,0,120,0,120,0,120,0,120,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
120,0,120,0,120,0,120,0,120,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
120,0,120,0,120,0,120,0,120,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
68,0,68,0,68,0,68,0,68,0
0,0,0,0,0,0,0,0,0,0
68,0,68,0,68,0,68,0,68,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
83,0,83,0,83,0,83,0,83,0
229,0,229,0,229,0,229,0,229,0
116,0,116,0,116,0,116,0,116,0
100,0,100,0,100,0,100,0,100,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
56,0,56,0,56,0,56,0,56,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
56,0,56,0,56,0,56,0,56,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
56,0,56,0,56,0,56,0,56,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
64,0,64,0,64,0,64,0,64,0
0,0,0,0,0,0,0,0,0,0
64,0,64,0,64,0,64,0,64,0
0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,0,8,0,8,0
0,0,0,0,0,0,0,0,0,0
80,0,80,0,80,0,80,0,80,0
229,0,229,0,229,0,229,0,229,0
116,0,116,0,116,0,116,0,116,0
100,0,100,0,100,0,100,0,100,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
32,0,32,0,32,0,32,0,32,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
32,0,32,0,32,0,32,0,32,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
32,0,32,0,32,0,32,0,32,0
0,0,0,0,0,0,0,0,0,0
28,0,28,0,28,0,28,0,28,0
0,0,0,0,0,0,0,0,0,0
28,0,28,0,28,0,28,0,28,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
81,0,81,0,81,0,81,0,81,0
229,0,229,0,229,0,229,0,229,0
116,0,116,0,116,0,116,0,116,0
100,0,100,0,100,0,100,0,100,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
0,0,0,0,0,0,0,0,0,0
82,0,82,0,82,0,82,0,82,0
229,0,229,0,229,0,229,0,229,0
116,0,116,0,116,0,116,0,116,0
100,0,100,0,100,0,100,0,100,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
46,0,46,0,46,0,46,0,46,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
62,0,62,0,62,0,62,0,62,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
62,0,62,0,62,0,62,0,62,0
0,0,0,0,0,0,0,0,0,0
240,0,240,0,240,0,240,0,240,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
240,0,240,0,240,0,240,0,240,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
47,0,47,0,47,0,47,0,47,0
108,0,108,0,108,0,108,0,108,0
105,0,105,0,105,0,105,0,105,0
98,0,98,0,98,0,98,0,98,0
54,0,54,0,54,0,54,0,54,0
52,0,52,0,52,0,52,0,52,0
47,0,47,0,47,0,47,0,47,0
108,0,108,0,108,0,108,0,108,0
100,0,100,0,100,0,100,0,100,0
45,0,45,0,45,0,45,0,45,0
108,0,108,0,108,0,108,0,108,0
105,0,105,0,105,0,105,0,105,0
110,0,110,0,110,0,110,0,110,0
117,0,117,0,117,0,117,0,117,0
120,0,120,0,120,0,120,0,120,0
45,0,45,0,45,0,45,0,45,0
120,0,120,0,120,0,120,0,120,0
56,0,56,0,56,0,56,0,56,0
54,0,54,0,54,0,54,0,54,0
45,0,45,0,45,0,45,0,45,0
54,0,54,0,54,0,54,0,54,0
52,0,52,0,52,0,52,0,52,0
46,0,46,0,46,0,46,0,46,0
115,0,115,0,115,0,115,0,115,0
111,0,111,0,111,0,111,0,111,0
46,0,46,0,46,0,46,0,46,0
50,0,50,0,50,0,50,0,50,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
48,0,48,0,48,0,48,0,48,0
0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0
71,0,71,0,71,0,71,0,71,0
78,0,78,0,78,0,78,0,78,0
85,0,85,0,85,0,85,0,85,0
0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0
128,0,128,0,128,0,128,0,128,0
0,0,0,0,0,0,0,0,0,0
192,0,192,0,192,0,192,0,192,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
192,0,192,0,192,0,192,0,192,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
192,0,192,0,192,0,192,0,192,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
20,0,20,0,20,0,20,0,20,0
0,0,0,0,0,0,0,0,0,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
71,0,71,0,71,0,71,0,71,0
78,0,78,0,78,0,78,0,78,0
85,0,85,0,85,0,85,0,85,0
0,0,0,0,0,0,0,0,0,0
50,0,141,0,8,0,21,0,141,0
1,0,222,0,131,0,100,0,222,0
232,0,179,0,104,0,113,0,179,0
42,0,52,0,11,0,5,0,52,0
155,0,60,0,223,0,95,0,60,0
8,0,98,0,39,0,205,0,98,0
194,0,183,0,176,0,56,0,183,0
237,0,12,0,112,0,198,0,12,0
147,0,91,0,69,0,236,0,91,0
245,0,21,0,189,0,10,0,21,0
26,0,133,0,88,0,47,0,133,0
4,0,77,0,88,0,232,0,77,0
14,0,95,0,106,0,9,0,95,0
222,0,191,0,185,0,20,0,191,0
228,0,221,0,28,0,217,0,221,0
194,0,234,0,101,0,101,0,234,0
146,0,208,0,41,0,54,0,208,0
100,0,58,0,133,0,214,0,58,0
129,0,247,0,101,0,216,0,247,0
220,0,12,0,253,0,148,0,12,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
71,0,71,0,71,0,71,0,71,0
78,0,78,0,78,0,78,0,78,0
85,0,85,0,85,0,85,0,85,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
18,0,18,0,18,0,18,0,18,0
0,0,0,0,0,0,0,0,0,0
67,0,67,0,67,0,67,0,67,0
0,0,0,0,0,0,0,0,0,0
32,0,32,0,32,0,32,0,32,0
0,0,0,0,0,0,0,0,0,0
95,0,95,0,95,0,95,0,95,0
0,0,0,0,0,0,0,0,0,0
32,0,32,0,32,0,32,0,32,0
0,0,0,0,0,0,0,0,0,0
110,0,110,0,110,0,110,0,110,0
0,0,0,0,0,0,0,0,0,0
32,0,32,0,32,0,32,0,32,0
0,0,0,0,0,0,0,0,0,0
19,0,19,0,19,0,19,0,19,0
0,0,0,0,0,0,0,0,0,0
34,0,34,0,34,0,34,0,34,0
0,0,0,0,0,0,0,0,0,0
95,0,95,0,95,0,95,0,95,0
95,0,95,0,95,0,95,0,95,0
108,0,108,0,108,0,108,0,108,0
105,0,105,0,105,0,105,0,105,0
98,0,98,0,98,0,98,0,98,0
99,0,99,0,99,0,99,0,99,0
95,0,95,0,95,0,95,0,95,0
115,0,115,0,115,0,115,0,115,0
116,0,116,0,116,0,116,0,116,0
97,0,97,0,97,0,97,0,97,0
114,0,114,0,114,0,114,0,114,0
116,0,116,0,116,0,116,0,116,0
95,0,95,0,95,0,95,0,95,0
109,0,109,0,109,0,109,0,109,0
97,0,97,0,97,0,97,0,97,0
105,0,105,0,105,0,105,0,105,0
110,0,110,0,110,0,110,0,110,0
0,0,0,0,0,0,0,0,0,0
95,0,95,0,95,0,95,0,95,0
95,0,95,0,95,0,95,0,95,0
99,0,99,0,99,0,99,0,99,0
120,0,120,0,120,0,120,0,120,0
97,0,97,0,97,0,97,0,97,0
95,0,95,0,95,0,95,0,95,0
102,0,102,0,102,0,102,0,102,0
105,0,105,0,105,0,105,0,105,0
110,0,110,0,110,0,110,0,110,0
97,0,97,0,97,0,97,0,97,0
108,0,108,0,108,0,108,0,108,0
105,0,105,0,105,0,105,0,105,0
122,0,122,0,122,0,122,0,122,0
101,0,101,0,101,0,101,0,101,0
0,0,0,0,0,0,0,0,0,0
108,0,108,0,108,0,108,0,108,0
105,0,105,0,105,0,105,0,105,0
98,0,98,0,98,0,98,0,98,0
99,0,99,0,99,0,99,0,99,0
46,0,46,0,46,0,46,0,46,0
115,0,115,0,115,0,115,0,115,0
111,0,111,0,111,0,111,0,111,0
46,0,46,0,46,0,46,0,46,0
54,0,54,0,54,0,54,0,54,0
0,0,0,0,0,0,0,0,0,0
71,0,71,0,71,0,71,0,71,0
76,0,76,0,76,0,76,0,76,0
73,0,73,0,73,0,73,0,73,0
66,0,66,0,66,0,66,0,66,0
67,0,67,0,67,0,67,0,67,0
95,0,95,0,95,0,95,0,95,0
50,0,50,0,50,0,50,0,50,0
46,0,46,0,46,0,46,0,46,0
50,0,50,0,50,0,50,0,50,0
46,0,46,0,46,0,46,0,46,0
53,0,53,0,53,0,53,0,53,0
0,0,0,0,0,0,0,0,0,0
71,0,71,0,71,0,71,0,71,0
76,0,76,0,76,0,76,0,76,0
73,0,73,0,73,0,73,0,73,0
66,0,66,0,66,0,66,0,66,0
67,0,67,0,67,0,67,0,67,0
95,0,95,0,95,0,95,0,95,0
50,0,50,0,50,0,50,0,50,0
46,0,46,0,46,0,46,0,46,0
51,0,51,0,51,0,51,0,51,0
52,0,52,0,52,0,52,0,52,0
0,0,0,0,0,0,0,0,0,0
95,0,95,0,95,0,95,0,95,0
73,0,73,0,73,0,73,0,73,0
84,0,84,0,84,0,84,0,84,0
77,0,77,0,77,0,77,0,77,0
95,0,95,0,95,0,95,0,95,0
100,0,100,0,100,0,100,0,100,0
101,0,101,0,101,0,101,0,101,0
114,0,114,0,114,0,114,0,114,0
101,0,101,0,101,0,101,0,101,0
103,0,103,0,103,0,103,0,103,0
105,0,105,0,105,0,105,0,105,0
115,0,115,0,115,0,115,0,115,0
116,0,116,0,116,0,116,0,116,0
101,0,101,0,101,0,101,0,101,0
114,0,114,0,114,0,114,0,114,0
84,0,84,0,84,0,84,0,84,0
77,0,77,0,77,0,77,0,77,0
67,0,67,0,67,0,67,0,67,0
108,0,108,0,108,0,108,0,108,0
111,0,111,0,111,0,111,0,111,0
110,0,110,0,110,0,110,0,110,0
101,0,101,0,101,0,101,0,101,0
84,0,84,0,84,0,84,0,84,0
97,0,97,0,97,0,97,0,97,0
98,0,98,0,98,0,98,0,98,0
108,0,108,0,108,0,108,0,108,0
101,0,101,0,101,0,101,0,101,0
0,0,0,0,0,0,0,0,0,0
95,0,95,0,95,0,95,0,95,0
95,0,95,0,95,0,95,0,95,0
103,0,103,0,103,0,103,0,103,0
109,0,109,0,109,0,109,0,109,0
111,0,111,0,111,0,111,0,111,0
110,0,110,0,110,0,110,0,110,0
95,0,95,0,95,0,95,0,95,0
115,0,115,0,115,0,115,0,115,0
116,0,116,0,116,0,116,0,116,0
97,0,97,0,97,0,97,0,97,0
114,0,114,0,114,0,114,0,114,0
116,0,116,0,116,0,116,0,116,0
95,0,95,0,95,0,95,0,95,0
95,0,95,0,95,0,95,0,95,0
0,0,0,0,0,0,0,0,0,0
95,0,95,0,95,0,95,0,95,0
73,0,73,0,73,0,73,0,73,0
84,0,84,0,84,0,84,0,84,0
77,0,77,0,77,0,77,0,77,0
95,0,95,0,95,0,95,0,95,0
114,0,114,0,114,0,114,0,114,0
101,0,101,0,101,0,101,0,101,0
103,0,103,0,103,0,103,0,103,0
105,0,105,0,105,0,105,0,105,0
115,0,115,0,115,0,115,0,115,0
116,0,116,0,116,0,116,0,116,0
101,0,101,0,101,0,101,0,101,0
114,0,114,0,114,0,114,0,114,0
84,0,84,0,84,0,84,0,84,0
77,0,77,0,77,0,77,0,77,0
67,0,67,0,67,0,67,0,67,0
108,0,108,0,108,0,108,0,108,0
111,0,111,0,111,0,111,0,111,0
110,0,110,0,110,0,110,0,110,0
101,0,101,0,101,0,101,0,101,0
84,0,84,0,84,0,84,0,84,0
97,0,97,0,97,0,97,0,97,0
98,0,98,0,98,0,98,0,98,0
108,0,108,0,108,0,108,0,108,0
101,0,101,0,101,0,101,0,101,0
0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0
34,0,34,0,34,0,34,0,34,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
0,0,0,0,0,0,0,0,0,0
117,0,117,0,117,0,117,0,117,0
26,0,26,0,26,0,26,0,26,0
105,0,105,0,105,0,105,0,105,0
9,0,9,0,9,0,9,0,9,0
0,0,0,0,0,0,0,0,0,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
44,0,44,0,44,0,44,0,44,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
0,0,0,0,0,0,0,0,0,0
180,0,180,0,180,0,180,0,180,0
145,0,145,0,145,0,145,0,145,0
150,0,150,0,150,0,150,0,150,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0
56,0,56,0,56,0,56,0,56,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
62,0,62,0,62,0,62,0,62,0
0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,0,8,0,8,0
0,0,0,0,0,0,0,0,0,0
16,0,16,0,16,0,16,0,16,0
17,0,17,0,17,0,17,0,17,0
0,0,0,0,0,0,0,0,0,0
24,0,24,0,24,0,24,0,24,0
62,0,62,0,62,0,62,0,62,0
0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,0,8,0,8,0
0,0,0,0,0,0,0,0,0,0
192,0,192,0,192,0,192,0,192,0
16,0,16,0,16,0,16,0,16,0
0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,0,8,0,8,0
64,0,64,0,64,0,64,0,64,0
0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,0,8,0,8,0
0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,0,8,0,8,0
64,0,64,0,64,0,64,0,64,0
0,0,0,0,0,0,0,0,0,0
192,0,192,0,192,0,192,0,192,0
63,0,63,0,63,0,63,0,63,0
0,0,0,0,0,0,0,0,0,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
200,0,200,0,200,0,200,0,200,0
63,0,63,0,63,0,63,0,63,0
0,0,0,0,0,0,0,0,0,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0
208,0,208,0,208,0,208,0,208,0
63,0,63,0,63,0,63,0,63,0
0,0,0,0,0,0,0,0,0,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
216,0,216,0,216,0,216,0,216,0
63,0,63,0,63,0,63,0,63,0
0,0,0,0,0,0,0,0,0,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
224,0,224,0,224,0,224,0,224,0
63,0,63,0,63,0,63,0,63,0
0,0,0,0,0,0,0,0,0,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0
243,0,243,0,243,0,243,0,243,0
15,0,15,0,15,0,15,0,15,0
30,0,30,0,30,0,30,0,30,0
250,0,250,0,250,0,250,0,250,0
72,0,72,0,72,0,72,0,72,0
131,0,131,0,131,0,131,0,131,0
236,0,236,0,236,0,236,0,236,0
8,0,8,0,8,0,8,0,8,0
72,0,72,0,72,0,72,0,72,0
139,0,139,0,139,0,139,0,139,0
5,0,5,0,5,0,5,0,5,0
193,0,193,0,193,0,193,0,193,0
47,0,47,0,47,0,47,0,47,0
0,0,0,0,0,0,0,0,0,0
72,0,72,0,72,0,72,0,72,0
133,0,133,0,133,0,133,0,133,0
192,0,192,0,192,0,192,0,192,0
116,0,116,0,116,0,116,0,116,0
2,0,2,0,2,0,2,0,2,0
255,0,255,0,255,0,255,0,255,0
208,0,208,0,208,0,208,0,208,0
72,0,72,0,72,0,72,0,72,0
131,0,131,0,131,0,131,0,131,0
196,0,196,0,196,0,196,0,196,0
8,0,8,0,8,0,8,0,8,0
195,0,195,0,195,0,195,0,195,0
0,0,0,0,0,0,0,0,0,0
243,0,243,0,243,0,243,0,243,0
15,0,15,0,15,0,15,0,15,0
30,0,30,0,30,0,30,0,30,0
250,0,250,0,250,0,250,0,250,0
49,0,49,0,49,0,49,0,49,0
237,0,237,0,237,0,237,0,237,0
73,0,73,0,73,0,73,0,73,0
137,0,137,0,137,0,137,0,137,0
209,0,209,0,209,0,209,0,209,0
94,0,94,0,94,0,94,0,94,0
72,0,72,0,72,0,72,0,72,0
137,0,137,0,137,0,137,0,137,0
226,0,226,0,226,0,226,0,226,0
72,0,72,0,72,0,72,0,72,0
131,0,131,0,131,0,131,0,131,0
228,0,228,0,228,0,228,0,228,0
240,0,240,0,240,0,240,0,240,0
80,0,80,0,80,0,80,0,80,0
84,0,84,0,84,0,84,0,84,0
69,0,69,0,69,0,69,0,69,0
49,0,49,0,49,0,49,0,49,0
192,0,192,0,192,0,192,0,192,0
49,0,49,0,49,0,49,0,49,0
201,0,201,0,201,0,201,0,201,0
72,0,72,0,72,0,72,0,72,0
141,0,141,0,141,0,141,0,141,0
61,0,61,0,61,0,61,0,61,0
218,0,218,0,218,0,218,0,218,0
0,0,0,0,0,0,0,0,0,0
255,0,255,0,255,0,255,0,255,0
21,0,21,0,21,0,21,0,21,0
123,0,123,0,123,0,123,0,123,0
47,0,47,0,47,0,47,0,47,0
0,0,0,0,0,0,0,0,0,0
244,0,244,0,244,0,244,0,244,0
102,0,102,0,102,0,102,0,102,0
46,0,46,0,46,0,46,0,46,0
